4 | LQI:
[INFO: Eaves     ] Received 2339 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 0 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 1 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 3 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 4 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 5 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 7 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 8 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 9 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 10 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 11 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 13 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 14 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 16 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 103]
[INFO: Eaves     ] Received 17 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 18 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 19 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 20 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 21 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 22 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 23 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 24 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 105]
[INFO: Eaves     ] Received 25 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 26 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 27 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 29 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 30 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 31 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 32 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 33 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 34 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 35 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 36 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 37 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 38 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 39 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 40 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 41 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 42 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 43 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 45 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 46 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 47 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 48 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 49 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 50 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 51 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 52 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 53 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 54 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 55 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 56 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 58 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 59 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 60 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 61 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 62 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 63 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 64 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 65 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 66 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 67 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 68 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 69 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 70 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 71 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 72 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 73 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 74 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 75 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 76 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 77 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 78 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 79 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 80 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 81 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 82 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 83 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 84 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 85 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 86 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 87 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 88 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 89 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 91 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 92 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 93 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 94 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 95 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 96 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 97 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 98 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 99 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 100 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 101 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 102 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 104 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 105 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 106 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 107 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 108 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 109 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 110 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 112 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 113 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 103]
[INFO: Eaves     ] Received 114 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 115 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 116 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 117 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 118 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 119 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 120 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 121 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 122 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 123 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 124 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 125 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 126 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 127 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 128 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 129 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 130 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 131 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 105]
[INFO: Eaves     ] Received 132 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 133 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 134 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 104]
[INFO: Eaves     ] Received 135 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 136 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 138 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 139 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 140 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 141 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 142 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 143 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 144 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 145 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 108]
[INFO: Eaves     ] Received 146 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 147 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 148 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 149 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 150 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 151 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 152 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 153 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 154 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 155 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 156 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 157 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 158 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 159 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 160 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 161 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 162 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 163 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 164 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 165 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 105]
[INFO: Eaves     ] Received 166 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 167 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 168 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 169 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 170 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 171 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 172 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 173 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 174 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 175 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 106]
[INFO: Eaves     ] Received 176 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 177 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 178 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 179 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 180 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 181 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 182 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 183 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 104]
[INFO: Eaves     ] Received 184 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 185 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 186 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 187 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 188 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 189 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 190 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 191 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 192 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 108]
[INFO: Eaves     ] Received 193 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 194 from 5a7a.b713.0074.1200 [RSSI: -24 | LQI: 107]
[INFO: Eaves     ] Received 195 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 196 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 106]
[INFO: Eaves     ] Received 197 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
[INFO: Eaves     ] Received 198 from 5a7a.b713.0074.1200 [RSSI: -23 | LQI: 107]
